hEntrez	humanSymbol	mouse_symbols	log2fc	log2fc_mean	adj_p_value	n_mouse_map	sign_flip	study	strict	sensitivity	unique_mapping
http://www.ncbi.nlm.nih.gov/gene/6783		Sult1e1	2.6712	2.6712	0.00269574	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/63924		Cidec	2.5991	2.5991	1.12049e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/4616		Gadd45b	2.2018	2.2018	1.79266e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10965		Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/641371		Acot1|Acot2|Acot5	2.1145	1.5291	4.13738e-05	3	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/7100		Tlr5	2.1032	2.1032	1.96958e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/84803		Gpat3	2.0694	2.0694	2.38654e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/3164		Nr4a1	-2.0099	-2.0099	0.00172	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5918		Rarres1	1.9883	1.9883	7.83277e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10808		Hsph1	-1.9583	-1.9583	4.32814e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5157		Pdgfrl	-1.9574	-1.9574	1.75643e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/83729		Inhbe	1.8836	1.8836	6.83591e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/83401		Elovl3	1.8779	1.8779	0.000204746	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/64222		Tor3a	1.8409	1.8409	6.76353e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/11067		Depp1	-1.7252	-1.7252	0.000281436	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1026		Cdkn1a	1.6626	1.6626	0.000240587	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/130013		Acmsd	-1.6147	-1.6147	1.05087e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/604		Bcl6	-1.6103	-1.6103	0.00802322	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/56261		Gpcpd1	1.5945	1.5945	0.000329533	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/84910		Tmem87b	1.5421	1.5421	1.79266e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2820		Gpd2	1.5355	1.5355	2.09722e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/27314		Rab30	1.53	1.53	0.000106862	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55714		Tenm3	1.4948	1.4948	6.5053e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/57104		Pnpla2	1.4574	1.4574	6.69068e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/51478		Hsd17b7	1.4382	1.4382	0.000357923	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1135		Chrna2	1.4273	1.4273	1.08937e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/79718		Tbl1xr1	1.3643	1.3643	1.70731e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/6526		Slc5a3	-1.3637	-1.3637	3.65326e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/22824		Hspa4l	-1.3619	-1.3619	1.03034e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5033		P4ha1	-1.3599	-1.3599	5.61684e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2353		Fos	-1.3546	-1.3546	0.0251745	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/8876		Vnn1	1.3415	1.3415	0.000358349	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/80823		Bhlhb9	1.3336	1.3336	0.00035935	1	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/100528062		Bhlhb9	1.3336	1.3336	0.00035935	1	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/6584		Slc22a21|Slc22a5	1.322	0.9066	2.8774e-07	2	False	OSD-25	True	True	False
http://www.ncbi.nlm.nih.gov/gene/148523		Ciart	1.3147	1.3147	0.00643471	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/5144		Pde4d	1.3057	1.3057	2.8774e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/55640		Flvcr2	1.3038	1.3038	0.000738608	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/54946		Slc41a3	1.2954	1.2954	5.55622e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2521		Fus	1.2908	1.2908	9.20916e-06	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/7336		Ube2v2	1.2881	1.2881	1.61583e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/79071		Elovl6	-1.2864	-1.2864	0.00408496	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/6906		Serpina7	1.2807	1.2807	0.0458775	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/51802		Asic5	1.2532	1.2532	0.00233274	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/22901		Arsg	1.2526	1.2526	4.89248e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/6857		Syt1	1.2356	1.2356	0.00203409	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/134		Adora1	1.2317	1.2317	0.000687742	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/9697		Tram2	1.216	1.216	2.38654e-07	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/6536		Slc6a9	1.2135	1.2135	0.000128864	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/337		Apoa4	1.1963	1.1963	2.38579e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/253512		Slc25a30	1.1958	1.1958	0.0103298	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/53838		1810055G02Rik	1.1887	1.1887	0.00080156	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/10110		Sgk2	1.1869	1.1869	0.00114471	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/56246		Mrap	1.1798	1.1798	0.000118163	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/2863		Gpr39	1.1795	1.1795	2.38579e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/51085		Mlxipl	-1.1792	-1.1792	0.000531668	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/118788		Pik3ap1	1.1764	1.1764	1.21032e-05	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/388403		Ypel2	-1.1702	-1.1702	0.000495032	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/1119		Chka	-1.1629	-1.1629	0.00271557	1	False	OSD-25	True	True	True
http://www.ncbi.nlm.nih.gov/gene/50999		Tmed5	1.1617	1.1617	2.38191e-05	1	False	OSD-25	True	True	True
